current_target_id,current_source_gene_symbol,source_internal_target_ids,source_uniprot_values,hgnc_match_type,hgnc_id,hgnc_approved_symbol,hgnc_status,matched_by,alias_or_previous_symbol,ncbi_gene_id,ncbi_official_symbol,uniprot_human_reviewed_accessions,uniprot_human_unreviewed_accessions,nonhuman_accessions_detected,obsolete_or_deleted_accessions,canonical_gene_identity_status,protein_product_mapping_status,sequence_feature_status,composite_status,proposed_canonical_target_id,proposed_operation,confidence,manual_approval_required,evidence_urls,authority_snapshot_hashes,notes,approved_final_operation,included_in_primary_graph,approval_reference
ABCC3,ABCC3,T86UJG,O15438,Approved symbol exact,HGNC:54,ABCC3,Approved,HGNC approved symbol exact,,8714,ABCC3,O15438,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCC3,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:54|https://www.ncbi.nlm.nih.gov/gene/8714|https://rest.uniprot.org/uniprotkb/O15438.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCC4,ABCC4,T61YYB,O15439,Approved symbol exact,HGNC:55,ABCC4,Approved,HGNC approved symbol exact,,10257,ABCC4,O15439,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCC4,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:55|https://www.ncbi.nlm.nih.gov/gene/10257|https://rest.uniprot.org/uniprotkb/O15439.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCC5,ABCC5,T79QBE,O15440,Approved symbol exact,HGNC:56,ABCC5,Approved,HGNC approved symbol exact,,10057,ABCC5,O15440,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCC5,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:56|https://www.ncbi.nlm.nih.gov/gene/10057|https://rest.uniprot.org/uniprotkb/O15440.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCF3,ABCF3,T77VME,Q9NUQ8,Approved symbol exact,HGNC:72,ABCF3,Approved,HGNC approved symbol exact,,55324,ABCF3,Q9NUQ8,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCF3,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:72|https://www.ncbi.nlm.nih.gov/gene/55324|https://rest.uniprot.org/uniprotkb/Q9NUQ8.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCG1,ABCG1,T69VYP,P45844,Approved symbol exact,HGNC:73,ABCG1,Approved,HGNC approved symbol exact,,9619,ABCG1,P45844,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCG1,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:73|https://www.ncbi.nlm.nih.gov/gene/9619|https://rest.uniprot.org/uniprotkb/P45844.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCG2,ABCG2,T97FEF,Q9UNQ0,Approved symbol exact,HGNC:74,ABCG2,Approved,HGNC approved symbol exact,,9429,ABCG2,Q9UNQ0,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCG2,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:74|https://www.ncbi.nlm.nih.gov/gene/9429|https://rest.uniprot.org/uniprotkb/Q9UNQ0.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCG5,ABCG5,T90K33,Q9H222,Approved symbol exact,HGNC:13886,ABCG5,Approved,HGNC approved symbol exact,,64240,ABCG5,Q9H222,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCG5,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:13886|https://www.ncbi.nlm.nih.gov/gene/64240|https://rest.uniprot.org/uniprotkb/Q9H222.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABCG8,ABCG8,T95EU5,Q9H221,Approved symbol exact,HGNC:13887,ABCG8,Approved,HGNC approved symbol exact,,64241,ABCG8,Q9H221,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABCG8,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:13887|https://www.ncbi.nlm.nih.gov/gene/64241|https://rest.uniprot.org/uniprotkb/Q9H221.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABHD12,ABHD12,,Q8N2K0,Approved symbol exact,HGNC:15868,ABHD12,Approved,HGNC approved symbol exact,,26090,ABHD12,Q8N2K0,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABHD12,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:15868|https://www.ncbi.nlm.nih.gov/gene/26090|https://rest.uniprot.org/uniprotkb/Q8N2K0.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABHD15,ABHD15,T80WPU,Q6UXT9,Approved symbol exact,HGNC:26971,ABHD15,Approved,HGNC approved symbol exact,,116236,ABHD15,Q6UXT9,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABHD15,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:26971|https://www.ncbi.nlm.nih.gov/gene/116236|https://rest.uniprot.org/uniprotkb/Q6UXT9.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABHD6,ABHD6,,Q9BV23,Approved symbol exact,HGNC:21398,ABHD6,Approved,HGNC approved symbol exact,,57406,ABHD6,Q9BV23,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABHD6,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:21398|https://www.ncbi.nlm.nih.gov/gene/57406|https://rest.uniprot.org/uniprotkb/Q9BV23.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABL1,ABL1,T75MO6,P00519,Approved symbol exact,HGNC:76,ABL1,Approved,HGNC approved symbol exact,,25,ABL1,P00519,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABL1,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:76|https://www.ncbi.nlm.nih.gov/gene/25|https://rest.uniprot.org/uniprotkb/P00519.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ABL2,ABL2,,P42684,Approved symbol exact,HGNC:77,ABL2,Approved,HGNC approved symbol exact,,27,ABL2,P42684,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ABL2,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:77|https://www.ncbi.nlm.nih.gov/gene/27|https://rest.uniprot.org/uniprotkb/P42684.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ACACA,ACACA,T92UBJ,Q13085,Approved symbol exact,HGNC:84,ACACA,Approved,HGNC approved symbol exact,,31,ACACA,Q13085,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ACACA,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:84|https://www.ncbi.nlm.nih.gov/gene/31|https://rest.uniprot.org/uniprotkb/Q13085.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
ACAD10,ACAD10,,Q6JQN1,Approved symbol exact,HGNC:21597,ACAD10,Approved,HGNC approved symbol exact,,80724,ACAD10,Q6JQN1,,,,Confirmed canonical human gene,single unambiguous reviewed human product,Authoritative reviewed human sequence available,Not composite,ACAD10,RETAIN_CANONICAL_GENE,High,False,https://rest.genenames.org/fetch/hgnc_id/HGNC:21597|https://www.ncbi.nlm.nih.gov/gene/80724|https://rest.uniprot.org/uniprotkb/Q6JQN1.json,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,,RETAIN_CANONICAL_GENE,True,User-approved round5_fix8 rebuild instruction dated 2026-07-01
